asset,country,operator,supply_bucket,production_type,route,status,production_2024_kt,technical_capacity_kt,nameplate_2030_kt,start_year,ramp_years,project_probability,maintenance_allowance_pct,grade_pct,recovery_pct,political_risk,permitting_risk,infrastructure_risk,source_name,source_url,assumption_note
Codelco,Chile,Codelco,Operating mines,primary,mixed,operating,1328,1500,1375,2024,1,1.00,0.020,0.65,86,medium,low,medium,Codelco annual reporting,https://www.codelco.com/,"Production seeded from public reported Codelco copper output; grade and recovery are broad model assumptions because current mine-by-mine values are not consistently disclosed."
Escondida,Chile,BHP,Operating mines,primary,concentrate,operating,1281,1450,1220,2024,1,1.00,0.018,0.75,84,low,low,medium,BHP Escondida operations,https://www.bhp.com/what-we-do/global-locations/chile/escondida,"Reported production basis; long-run decline reflects mature grade risk partly offset by debottlenecking."
Grasberg,Indonesia,Freeport-McMoRan,Operating mines,by-product,concentrate,operating,816,900,720,2024,1,1.00,0.030,0.80,88,medium,medium,high,Freeport Indonesia operations,https://www.fcx.com/operations/indonesia,"Gold-rich by-product copper mine complex; forecast includes explicit 2025-2026 disruption rows for the September 2025 mud-rush incident."
Tenke,DRC,CMOC,Operating mines,primary,mixed,operating,450,700,704,2024,3,1.00,0.030,2.40,88,high,medium,high,CMOC copper-cobalt operations,https://en.cmoc.com/html/Business/CopperCobalt/,"High-grade DRC copper-cobalt operation; expansion path is risk adjusted through DRC logistics and policy risk."
Kisanfu,DRC,CMOC,Brownfield and expansion,primary,mixed,expansion,200,300,281,2025,3,0.85,0.030,1.80,86,high,medium,high,CMOC copper-cobalt operations,https://en.cmoc.com/html/Business/CopperCobalt/,"KFM expansion treated as probable but risk adjusted because public asset-level timing remains uncertain."
Zijin Tibet,China,Zijin Mining,Brownfield and expansion,primary,concentrate,expansion,166,700,699,2025,5,0.90,0.025,0.55,82,medium,medium,high,Zijin Mining operations,https://www.zijinmining.com/,"Tibet copper growth treated as brownfield expansion; infrastructure and altitude risk are explicitly flagged."
Collahuasi,Chile,Anglo American / Glencore / Mitsui,Operating mines,primary,concentrate,operating,559,650,597,2024,1,1.00,0.018,0.85,84,low,medium,medium,Anglo American Collahuasi,https://www.angloamerican.com/products/copper/collahuasi,"Operating mine with expansion option shown separately in the ICSG project pipeline."
Buenavista,Mexico,Southern Copper,Operating mines,primary,mixed,operating,433,500,338,2024,1,1.00,0.020,0.35,78,medium,low,medium,Southern Copper operations,https://www.southerncoppercorp.com/,"Mature operating mine; lower 2030 output reflects depletion and conservative achievable-production risk."
Antamina,Peru,Glencore / BHP / Teck / Mitsubishi,Operating mines,by-product,concentrate,operating,389,450,376,2024,1,1.00,0.020,0.85,86,medium,medium,medium,Antamina operation,https://www.antamina.com/,"Polymetallic by-product copper mine; output can be affected by zinc/copper ore sequencing."
Cerro Verde,Peru,Freeport-McMoRan,Operating mines,primary,mixed,operating,430,500,396,2024,1,1.00,0.020,0.36,82,medium,low,medium,Freeport South America operations,https://www.fcx.com/operations/south-america,"Reported production basis with modest mature-mine decline."
SCCO Peru,Peru,Southern Copper,Operating mines,primary,mixed,operating,414,500,345,2024,1,1.00,0.020,0.55,80,medium,medium,medium,Southern Copper operations,https://www.southerncoppercorp.com/,"Peru operations group rather than one mine; includes Cuajone and Toquepala style operating risk."
Las Bambas,Peru,MMG,Operating mines,primary,concentrate,operating,323,400,332,2024,1,1.00,0.030,0.65,84,high,medium,high,MMG Las Bambas,https://www.mmg.com/our-business/las-bambas/,"Operating mine with high logistics and community-blockade risk."
Kamoa-Kakula,DRC,Ivanhoe Mines / Zijin / Gecamines,Brownfield and expansion,primary,concentrate,expansion,437,650,469,2024,4,0.90,0.025,4.50,87,high,medium,high,Ivanhoe Kamoa-Kakula,https://ivanhoemines.com/projects/kamoa-kakula-project/,"High-grade operation; power and water disruption risks are modelled separately."
Norilsk,Russia,Nornickel,Operating mines,by-product,concentrate,operating,375,420,396,2024,1,1.00,0.025,0.75,84,high,medium,medium,Nornickel Norilsk division,https://www.nornickel.com/business/assets/norilsk-division/,"By-product copper from nickel-PGM system; geopolitical and logistics risk flagged."
Los Pelambres,Chile,Antofagasta,Operating mines,primary,concentrate,operating,320,380,318,2024,1,1.00,0.020,0.60,84,low,medium,medium,Antofagasta Los Pelambres,https://www.antofagasta.co.uk/operations/mining-division/los-pelambres/,"Reported production basis; water and grade pressure are the main operating risks."
Quellaveco,Peru,Anglo American,Operating mines,primary,concentrate,operating,306,350,279,2024,1,1.00,0.018,0.55,84,medium,low,medium,Anglo American Quellaveco,https://www.angloamerican.com/products/copper/quellaveco,"Newer operating mine; 2030 output assumes normalization below early ramp years."
Oyu Tolgoi,Mongolia,Rio Tinto,Operating mines,primary,concentrate,operating,215,550,527,2024,5,1.00,0.025,1.50,86,medium,medium,high,Rio Tinto Oyu Tolgoi,https://www.riotinto.com/en/operations/mongolia/oyu-tolgoi,"Underground ramp-up asset; infrastructure and technical execution risk are explicitly flagged."
Quebrada Blanca,Chile,Teck,Operating mines,primary,concentrate,operating,208,300,245,2024,3,1.00,0.025,0.50,82,low,medium,medium,Teck Quebrada Blanca,https://www.teck.com/operations/chile/quebrada-blanca/,"QB2 ramp-up and debottlenecking treated as operating ramp rather than greenfield project."
Lumwana,Zambia,Barrick,Brownfield and expansion,primary,concentrate,expansion,123,280,276,2025,4,0.85,0.025,0.55,82,medium,medium,high,Barrick Lumwana,https://www.barrick.com/English/operations/lumwana/default.aspx,"Super-pit expansion treated as probable with infrastructure and execution risk."
Kansanshi - conc,Zambia,First Quantum,Operating mines,primary,mixed,operating,136,250,219,2024,4,1.00,0.025,0.70,83,medium,low,medium,First Quantum operations,https://www.first-quantum.com/English/our-operations/default.aspx,"Concentrate line from Kansanshi; smelter routing constraints matter for refined output."
Tia Maria,Peru,Southern Copper,Probable projects,primary,sxew,project,0,120,113,2028,3,0.35,0.020,0.35,78,high,high,medium,Southern Copper projects,https://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperationProjects.aspx,"Project capacity from public company context and ICSG project chart; probability discounted heavily for social and permitting risk."
Cobre Panama,Panama,First Quantum,Suspended supply,primary,concentrate,suspended,0,350,359,2027,2,0.45,0.025,0.38,82,high,high,medium,First Quantum Cobre Panama,https://www.first-quantum.com/English/our-operations/default.aspx,"Suspended after Panama concession ruling; restart probability is scenario-sensitive."
Malmyzh,Russia,Russian Copper Company,Probable projects,primary,concentrate,project,0,190,187,2027,3,0.45,0.025,0.35,80,high,medium,high,Russian Copper Company Malmyzh,https://www.russian-copper.ru/en/projects/malmyzh/,"Project capacity aligned to public project descriptions and ICSG bubble size; geopolitical and infrastructure risk discounted."
Cascabel,Ecuador,SolGold,Probable projects,primary,concentrate,project,0,120,112,2028,4,0.30,0.025,0.50,82,high,high,high,SolGold Cascabel,https://www.solgold.com.au/projects/cascabel/,"Large Ecuador project; probability discount reflects permitting; financing; and development timing risk."
Reko Diq,Pakistan,Barrick,Probable projects,primary,concentrate,project,0,250,250,2028,4,0.45,0.025,0.45,82,high,medium,high,Barrick Reko Diq,https://www.barrick.com/English/operations/reko-diq/default.aspx,"Phase 1 project; model uses probability-weighted ramp before full nameplate."
Resolution,United States,Rio Tinto / BHP,Possible projects,primary,concentrate,project,0,500,500,2032,5,0.12,0.025,1.50,86,medium,high,medium,Resolution Copper,https://resolutioncopper.com/,"ICSG chart shows post-2028 potential; dashboard probability is low because permitting remains highly uncertain."
Tampakan,Philippines,SMI,Possible projects,primary,concentrate,project,0,375,375,2030,5,0.18,0.025,0.50,82,high,high,high,ICSG project pipeline,https://icsg.org/copper-factbook/,"Capacity seeded from ICSG project chart; probability discounted for permitting and social opposition."
El Abra Expansion,Chile,Freeport-McMoRan,Possible projects,primary,mixed,project,0,340,340,2030,4,0.25,0.025,0.40,80,low,medium,medium,Freeport South America operations,https://www.fcx.com/operations/south-america,"ICSG chart lists El Abra expansion after 2028; model discounts timing."
La Granja,Peru,Rio Tinto / First Quantum,Possible projects,primary,concentrate,project,0,300,300,2030,4,0.25,0.025,0.45,82,medium,high,medium,Rio Tinto La Granja JV,https://www.riotinto.com/en/news/releases/2023/rio-tinto-and-first-quantum-complete-la-granja-joint-venture,"Project capacity seeded from ICSG chart; probability reflects early-stage development."
Frieda River,Papua New Guinea,PanAust,Possible projects,primary,concentrate,project,0,180,180,2030,4,0.20,0.025,0.45,82,high,high,high,PanAust Frieda River,https://www.panaust.com.au/our-business/frieda-river-project,"Infrastructure and permitting risk are high; probability-weighted contribution is small before 2035."
Pebble,United States,Northern Dynasty,Possible projects,primary,concentrate,project,0,150,150,2032,5,0.08,0.025,0.30,80,medium,high,medium,Pebble Partnership,https://pebblepartnership.com/,"Very low probability because of permitting opposition and regulatory risk."
Copper World,United States,Hudbay,Possible projects,primary,concentrate,project,0,100,100,2029,3,0.35,0.025,0.45,82,medium,high,medium,Hudbay Copper World,https://hudbayminerals.com/operations/united-states/copper-world/,"Project probability reflects state/federal permitting uncertainty."
Centinela Expansion,Chile,Antofagasta,Committed projects,primary,concentrate,project,0,170,170,2027,3,0.75,0.020,0.45,82,low,medium,medium,Antofagasta Centinela,https://www.antofagasta.co.uk/operations/mining-division/centinela/,"Expansion treated as relatively high probability after sanctioning progress."
Zafranal,Peru,Teck / Mitsubishi,Probable projects,primary,concentrate,project,0,120,120,2028,3,0.45,0.025,0.40,82,medium,medium,medium,Teck Zafranal,https://www.teck.com/operations/peru/zafranal/,"Project capacity anchored to public project materials and ICSG chart; probability discounted for execution."
Galore Creek,Canada,Newmont / Teck,Possible projects,primary,concentrate,project,0,140,140,2031,5,0.15,0.025,0.50,82,low,high,high,Galore Creek project,https://www.gcmc.ca/,"Remote infrastructure-heavy project; low probability before 2035."
Los Azules,Argentina,McEwen Copper,Possible projects,primary,concentrate,project,0,200,200,2030,4,0.25,0.025,0.45,82,high,medium,high,McEwen Copper Los Azules,https://mcewencopper.com/projects/los-azules/,"Probability discount reflects financing; permitting; infrastructure; and Argentina macro risk."
Wafi-Golpu,Papua New Guinea,Newmont / Harmony,Possible projects,primary,concentrate,project,0,175,175,2030,4,0.20,0.025,0.60,84,high,high,high,Wafi-Golpu project,https://www.wafi-golpu.com/,"Large PNG project with material permitting and infrastructure risk."
